dosiahnuty	5-2245-B,18-1815-B,183-2456-B
dosiroka	270-1712-B
doska	22-1043-B,26-2315-B,53-1624-B,63-1967-B,102-736-B,164-653-B,164-721-S,170-997-B,170-1428-B,185-2479-B,211-1875-B,216-2300-B,239-1404-B
dosky	26-2525-B,87-2492-B,92-794-B
doslednost	49-1391-B,49-1461-B
dosledny	49-1594-B,132-1908-B
dosledok	8-3709-B,8-3732-B,49-381-B,52-209-B,84-1217-B,113-3302-B,120-3447-B,161-479-B,190-1672-B,193-1949-B,195-1326-B,208-1972-B
doslova	131-1217-B,272-1243-B
doslovne	262-1877-B
doslovny	131-1183-B,262-1713-B,262-1895-B
dospelost	8-397-B,135-2092-B,139-677-B
dospely	8-337-B,96-184-B,103-3063-B,103-3078-B,103-3096-B,139-577-B
dospievajuci	7-3968-B,178-825-B
dospievanie	7-3944-B
dospievat	7-3899-B
dost	77-1707-B,83-3168-B,174-3585-B,180-3145-B,183-260-B
dostacujuci	200-3513-B
dostali	269-1233-B
