先刻 せんこく	11-2574-B
先取 せんしゅ	228-4138-B
先史 せんし	228-2154-B
先史学 せんしがく	228-2184-B
先塔 せんとう	220-4394-B,284-227-B,288-3690-B
先天 せんてん	158-2838-B,159-469-B
先天性 せんてんせい	144-1556-B
先天的 せんてんてき	61-1411-B,144-1598-B,154-365-B,158-2869-B,159-498-B
先導 せんどう	138-2114-B,172-2884-B
先導者 せんどうしゃ	323-3423-B
先年 せんねん	124-5613-B
先度 せんど	243-2715-B
先手 さきて	323-3463-B
先手 せんて	158-4768-B
先手を打つ せんてをうつ	124-181-B
先払い さきばらい	123-5456-B
先方 さきかた	56-3496-B
先方 せんぽう	81-6062-B,142-56-B,271-771-B,306-1184-B
先物買い さきものがい	283-1860-B
先生 せんせい	91-2092-B,184-1590-B,303-1852-B
先番 せんばん	227-3594-B
先発 せんぱつ	123-5495-B
先登 せんとう	119-5828-B,142-393-B,172-1456-B,323-3491-B
先知 せんち	123-5837-B
先祖 せんぞ	13-228-B
先立つ さきだつ	172-1483-B,227-3501-B
先端 せんたん	72-5752-B,282-4988-B,308-5339-B,323-3522-B
先端的 せんたんてき	172-3166-B,317-734-B
先細り さきぼそり	95-4151-B
先行 せんこう	227-3984-B
先見 せんけん	14-4336-B,123-5866-B
先見の明 せんけんのめい	14-4371-B,123-5898-B
先見者 せんけんしゃ	266-430-B
先覚 せんかく	220-4617-B
先覚者 せんかくしゃ	220-4647-B,266-466-B
先議 せんぎ	158-4798-B
先輩 せんぱい	98-3502-B,204-4739-B,232-2391-B,297-2394-B
先述 せんじゅつ	8-588-B
先送り さきおくり	226-1491-B
先途 せんど	75-2737-B
先進 せんしん	7-186-B,172-2917-B,267-3553-B
先達 せんだち	138-2517-B,172-1965-B,220-4686-B
先達 せんだつ	138-2545-B,172-1994-B,220-4716-B
先達て せんだって	243-2743-B
先遣部隊 せんけんぶたい	323-3553-B
先鋭 せんえい	5-1382-B,239-3861-B,270-5563-B
先陣 せんじん	323-3599-B
先鞭 せんべん	158-4828-B
先頃 さきごろ	243-2780-B
先頃 せんころ	243-2811-B
先頭 せんとう	119-5856-B,142-420-B,172-1513-B,323-3630-B
先駆 せんく	209-1619-B,220-4746-B,227-5596-B
先駆け さきがけ	123-5528-B,140-3858-B,220-4773-B
先駆者 せんくしゃ	123-5564-B,140-3893-B,144-463-B,220-4806-B
先験的 せんけんてき	312-1559-B
光 ひかり	175-1583-B
光り輝く ひかりかがやく	132-4792-B,271-3385-B
光る ひかる	132-4837-B,271-3428-B
光冠 こうかん	66-2636-B
光化学 こうかがく	219-3812-B
光合成 こうごうせい	219-4855-B
光子 こうし	219-4740-B
光度計 こうどけい	219-4701-B
光彩 こうさい	36-3574-B,284-3715-B
光彩陸離たる こうさいりくりたる	36-3822-B,75-564-B
光明 こうみょう	133-1560-B,147-1279-B
光景 こうけい	262-5393-B,283-905-B
光栄 こうえい	133-1591-B,146-6115-B,231-1250-B
光沢 こうたく	36-3607-B,180-829-B,224-2194-B
光炎 こうえん	120-3428-B
光照 こうしょう	271-3706-B
光環 こうかん	66-2665-B
光線 こうせん	27-1251-B
光線療法 こうせんりょうほう	219-4901-B
光背 こうはい	139-3152-B
光輝 こうき	36-3289-B,284-3747-B
光輝有る こうきある	36-3881-B,133-1187-B,271-3739-B,284-2730-B
光輪 こうりん	139-3179-B
光陰 こういん	308-2959-B
