armrest	18-991-B,18-1021-B
army	18-1054-B,18-1072-B,18-1108-B,18-1129-B,18-1147-B,18-1174-B,18-1201-B
aroma	18-1228-B,18-1253-B,18-1278-B,18-1306-B,18-1331-B,18-1356-B
aromatic	18-1384-B,18-1421-B,18-1452-B,18-1492-B,18-1535-B,18-1578-B,18-1618-B
around	10-2926-S,18-1658-B,18-1678-B,18-1701-B
around the clock	18-1727-B
arousal	18-1784-B,18-1814-B,18-1847-B,18-1877-B
arouse	18-1907-B,18-1948-B,18-1974-B,18-2015-B
arpeggio	18-2059-B
arquebus	18-2084-B
arrange	18-2124-B,18-2145-B,18-2190-B,18-2211-B,18-2241-B,18-2289-B,18-2334-B,18-2379-B,18-2421-B,18-2457-B,18-2502-B,18-2550-B,18-2592-B,18-2637-B,18-2670-B,18-2706-B,18-2742-B,18-2793-B,18-2841-B,18-2874-B,18-2910-B,18-2958-B
arrangement	18-2994-B,18-3028-B,18-3068-B,18-3102-B,18-3133-B,18-3164-B,18-3198-B,18-3235-B,18-3284-B,18-3330-B,18-3361-B,18-3395-B,18-3423-B,18-3454-B,18-3485-B,18-3519-B,18-3553-B,18-3587-B,18-3618-B,18-3652-B,18-3701-B,18-3744-B,18-3778-B,18-3815-B,18-3852-B,18-3877-B,18-3911-B,18-3954-B
arranger	18-3991-B
arranging	18-4019-B
arrant	18-4048-B
array	18-4080-B,18-4096-B,18-4130-B
arrears	18-4158-B,18-4197-B,18-4239-B,18-4269-B
arrest	18-4296-B,18-4325-B,18-4354-B,18-4398-B,18-4442-B,18-4489-B,18-4524-B,18-4571-B,18-4597-B,18-4629-B,18-4658-B,18-4684-B,18-4701-B,18-4739-B,18-4771-B,18-4809-B,18-4844-B,18-4876-B,18-4905-B,18-4931-B,18-4969-B,18-5007-B,18-5036-B,18-5065-B,18-5100-B
arrhythmia	18-5126-B,18-5168-B
arrival	18-5201-B,18-5234-B,18-5267-B,18-5297-B,18-5330-B,18-5360-B,18-5393-B,18-5426-B
arrive	18-5456-B,18-5503-B,18-5550-B,18-5579-B,18-5605-B,18-5628-B,18-5654-B
arrogance	18-5686-B,18-5715-B,18-5747-B,18-5797-B,18-5829-B,18-5876-B,18-5923-B,18-5955-B,18-5987-B,18-6019-B,18-6054-B
arrogant	18-6089-B,18-6135-B,18-6166-B,18-6197-B,18-6237-B
arrogantly	18-6268-B
arrow	18-6322-B,18-6338-B
arrowhead	18-6354-B
arrowroot	18-6383-B
arse	18-6421-B,18-6445-B
arsehole	18-6463-B,18-6503-B
arsenal	18-6537-B,18-6585-B,18-6624-B,18-6657-B,19-0-B
arson	19-42-B,19-73-B,19-98-B,19-123-B
art	19-151-B,19-165-B,19-188-B,19-205-B,19-231-B,19-260-B,19-286-B,19-303-B,287-5114-S
arteriosclerosis	19-323-B,19-380-B
artery	19-449-B
artfully	19-481-B
artfulness	19-503-B
arthritis	19-539-B
artichoke	19-580-B
article	19-606-B,19-633-B,19-663-B,19-693-B,19-723-B,19-744-B,19-765-B,19-795-B,19-828-B,19-861-B,19-894-B,19-927-B,19-957-B,19-987-B
articulation	19-1011-B,19-1046-B,19-1078-B,19-1122-B
artifact	19-1160-B
artifice	19-1191-B,19-1222-B,19-1253-B
artificial	19-1287-B,19-1326-B,19-1362-B,19-1395-B,19-1437-B,19-1476-B
artificiality	19-1509-B,19-1545-B,19-1578-B
artillery	19-1611-B,19-1643-B,19-1672-B,19-1704-B
artisan	19-1739-B,19-1763-B,19-1787-B,19-1811-B,19-1835-B,19-1865-B,19-1898-B
artist	19-1931-B,19-1954-B,19-1980-B,19-2006-B,19-2035-B,19-2067-B,19-2093-B,19-2119-B,19-2148-B,19-2171-B,19-2200-B,19-2226-B,19-2249-B,19-2272-B,19-2298-B,19-2321-B,19-2350-B,19-2385-B
artistic	19-2423-B,19-2454-B,19-2494-B
artistry	19-2537-B,19-2571-B,19-2605-B
artless	19-2630-B,19-2672-B,19-2714-B
artlessness	19-2747-B,19-2784-B,19-2818-B,19-2849-B
artwork	19-2880-B
as	19-2931-B,19-2947-B,19-2966-B,19-2982-B,19-2998-B,19-3014-B,19-3036-B
asbestos	19-3061-B,19-3092-B
ascend	19-3123-B,19-3149-B,19-3175-B
ascendancy	19-3201-B,19-3231-B
ascendency	19-3264-B
ascent	19-3294-B
ascertain	19-3329-B,19-3370-B,19-3411-B,19-3455-B,19-3496-B,19-3537-B,19-3578-B
ascetic	19-3607-B,19-3661-B
asceticism	19-3694-B,19-3742-B,19-3778-B,19-3811-B
ascites	19-3847-B
asexual	19-3877-B
ash	19-3904-B,19-3921-B,19-3938-B,19-3964-B
ashen	19-3990-B,19-4024-B,19-4052-B
ashtray	19-4080-B,19-4110-B
aside	19-4140-B
ask	19-4159-B,19-4179-B,19-4205-B,19-4234-B,19-4254-B,19-4274-B,19-4294-B,19-4323-B,19-4349-B,19-4372-B,19-4392-B
aslant	19-4415-B,19-4444-B
asleep	19-4476-B
asp	19-4499-B,19-4522-B
asparagus	19-4542-B
aspartame	19-4571-B
aspect	19-4603-B,19-4626-B,19-4652-B,19-4675-B,19-4707-B,19-4739-B,19-4768-B,19-4794-B,19-4823-B,19-4843-B,19-4869-B
asphalt	19-4898-B,19-4925-B,19-4952-B
asphyxiation	19-4982-B
aspic	19-5011-B
aspidistra	19-5033-B
aspirate	19-5063-B
aspiration	19-5100-B,19-5145-B,19-5190-B,19-5226-B,19-5256-B,19-5289-B,19-5322-B,19-5352-B,19-5382-B,19-5415-B,19-5451-B,19-5484-B,19-5514-B,19-5541-B,19-5571-B,19-5601-B,19-5634-B,19-5667-B
ass	19-5700-B,19-5735-B
assailant	19-5752-B
assassin	19-5790-B,19-5812-B,19-5846-B,19-5880-B,19-5914-B,19-5948-B,19-5976-B,19-6007-B
assassination	20-0-B,20-39-B,20-78-B,20-117-B,20-153-B
